id,titre,description,competences,localisation,type_contrat,salaire
493,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Spring Boot, Azure, Docker",Casablanca,Freelance,61893
494,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"GCP, HTML, TensorFlow, JavaScript",Casablanca,Alternance,55668
495,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Numpy, Python, Java, Photoshop",Tunis,CDI,46903
496,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Angular, Linux, GCP, Java, Docker, Python, Photoshop",Casablanca,Alternance,39230
497,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"NoSQL, TensorFlow, Numpy, JavaScript",Tunis,Alternance,51526
498,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"TensorFlow, HTML, React, Java, Docker",Sfax,Freelance,30014
499,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"JavaScript, Photoshop, CSS, NoSQL, TensorFlow",Paris,CDI,32178
500,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"JavaScript, React, Python, HTML",Madrid,Alternance,41459
501,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Figma, Photoshop, GCP",Tunis,Alternance,63196
502,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"AWS, CI/CD, Angular, TensorFlow, Python",Tunis,Alternance,48057
503,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"React, JavaScript, CI/CD, TensorFlow, Python, Angular",Berlin,Alternance,22116
504,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Numpy, Kubernetes, AWS, NoSQL, Spring Boot",Paris,Alternance,21405
505,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"TensorFlow, NoSQL, Java, SQL, Photoshop, Azure, GCP",Casablanca,Freelance,38835
506,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Figma, Flask, CSS, HTML",Paris,Stage,78215
507,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Angular, Kubernetes, Docker, CSS",Montréal,Freelance,39608
508,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Flask, Pandas, Figma, Java, Photoshop",Paris,CDI,53651
509,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Kubernetes, React, CI/CD, Java, NoSQL, Python",Berlin,Stage,40432
510,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Angular, AWS, Kubernetes",Lyon,CDI,40639
511,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Docker, Linux, Flask, Angular, CI/CD, JavaScript",Casablanca,Freelance,57010
512,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Kubernetes, Figma, Azure, Spring Boot, Photoshop",Lyon,Alternance,63636
513,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"React, NoSQL, GCP, Numpy, CSS, Flask, Spring Boot",Sfax,Freelance,38678
514,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Figma, Docker, CI/CD, Linux, Flask, HTML, AWS",Berlin,Freelance,44652
515,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Kubernetes, Figma, Photoshop, Python, CSS, React, HTML",Sfax,Stage,39059
516,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Figma, CSS, Java, GCP, CI/CD, NoSQL",Paris,CDD,54411
517,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Azure, Flask, JavaScript",Lyon,Stage,66701
518,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Docker, Kubernetes, Spring Boot",Paris,Alternance,63351
519,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Flask, JavaScript, Java, AWS, NoSQL",Sfax,CDI,25764
520,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"SQL, Spring Boot, AWS, CSS, Python, CI/CD",Berlin,Freelance,47444
521,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"SQL, NoSQL, Flask, Figma, Docker, HTML, TensorFlow",Berlin,CDI,23964
522,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Flask, NoSQL, Spring Boot",Montréal,CDD,68166
523,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Python, JavaScript, TensorFlow",Tunis,CDD,52705
524,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Spring Boot, NoSQL, Photoshop",Tunis,Freelance,64647
525,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Figma, CSS, HTML, Kubernetes",Berlin,CDD,56475
526,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Java, Kubernetes, Flask, NoSQL",Lyon,CDD,26508
527,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"CSS, Figma, Azure, GCP",Madrid,CDI,75437
528,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Figma, Numpy, Flask, SQL, JavaScript",Lyon,CDI,43283
529,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Flask, Azure, Python, Kubernetes, NoSQL",Paris,CDI,30259
530,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Python, NoSQL, Docker, TensorFlow, React",Madrid,Freelance,79812
531,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"GCP, SQL, Angular, HTML",Madrid,CDD,79199
532,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"CI/CD, SQL, React, Flask, Python, Angular",Tunis,Freelance,40292
533,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Linux, Flask, React, Java, AWS",Berlin,Stage,37561
534,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Azure, Pandas, CI/CD, HTML, Angular, Figma, GCP",Tunis,Freelance,21035
535,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"HTML, Spring Boot, NoSQL, Python, SQL",Tunis,CDD,25078
536,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Figma, Java, Python, Linux, Pandas, GCP",Sfax,Freelance,69196
537,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"CI/CD, JavaScript, Java, Spring Boot, TensorFlow, Python, Photoshop",Sfax,Alternance,47767
538,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Docker, Python, GCP, JavaScript, Angular, Numpy, Kubernetes",Madrid,CDD,25725
539,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Docker, SQL, Linux, Figma, Angular",Paris,CDD,38347
540,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"HTML, Docker, JavaScript, Pandas, Spring Boot",Lyon,Alternance,70019
541,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Figma, NoSQL, Photoshop",Casablanca,Stage,47234
542,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"HTML, Pandas, JavaScript",Berlin,Stage,63578
543,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"NoSQL, Pandas, CI/CD",Casablanca,Stage,77650
544,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"NoSQL, CSS, Angular, Spring Boot, Pandas",Lyon,CDD,57735
545,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Spring Boot, HTML, Flask, SQL, NoSQL, Kubernetes",Berlin,CDI,71274
546,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"JavaScript, Docker, AWS",Sfax,CDI,25960
547,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"JavaScript, Pandas, Azure, AWS, Flask, React",Madrid,Stage,22360
548,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"AWS, Spring Boot, JavaScript, Figma, CSS, Linux, HTML",Montréal,CDI,74472
549,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Pandas, AWS, TensorFlow, HTML, Figma, React, CSS",Tunis,CDI,75243
550,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"GCP, Figma, HTML, Numpy, JavaScript, TensorFlow",Casablanca,Stage,59420
551,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"HTML, Spring Boot, AWS, Angular, Azure",Sfax,Alternance,41591
552,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"NoSQL, Azure, Numpy, React, AWS, Figma, HTML",Montréal,CDI,29124
553,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"JavaScript, CI/CD, TensorFlow",Paris,CDI,48544
554,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"AWS, CI/CD, Docker, HTML, Java",Sfax,Alternance,49908
555,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Figma, AWS, Python, CSS, NoSQL, Kubernetes",Sfax,CDI,42496
556,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"CI/CD, HTML, React, Docker, Pandas, Angular",Sfax,Freelance,27126
557,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Azure, React, SQL, Linux, Java",Paris,CDI,39641
558,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"React, CSS, JavaScript, Python, Figma, Docker, TensorFlow",Tunis,Freelance,58996
559,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"NoSQL, CI/CD, AWS, CSS, Angular, Python",Madrid,Freelance,45924
560,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Java, Figma, Kubernetes, GCP, CI/CD, HTML, Linux",Tunis,Alternance,72644
561,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"HTML, Photoshop, Spring Boot, Pandas, Docker",Sfax,Alternance,61692
562,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Linux, Numpy, JavaScript",Sfax,CDI,39777
563,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Kubernetes, Flask, Linux",Paris,Stage,34848
564,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"CSS, Photoshop, React, JavaScript, Angular",Paris,Freelance,22742
565,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"React, NoSQL, Azure, Kubernetes",Casablanca,Freelance,59272
566,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"JavaScript, Pandas, HTML, NoSQL, Java, TensorFlow, CSS",Madrid,CDI,56306
567,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Angular, Numpy, Flask, Python, NoSQL, React, Photoshop",Madrid,Alternance,59158
568,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Linux, Spring Boot, Python, Azure, Flask",Lyon,Alternance,22292
569,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Angular, Spring Boot, Linux",Berlin,Stage,31666
570,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"React, Spring Boot, HTML, SQL, Linux",Berlin,Freelance,31192
571,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Figma, React, Flask, Angular, Numpy, Docker",Madrid,CDD,63309
572,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"HTML, CSS, Photoshop, Linux, SQL, NoSQL, Java",Lyon,Alternance,48110
573,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Azure, Docker, GCP, CSS, Angular",Sfax,Alternance,39105
574,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Pandas, JavaScript, Photoshop, AWS, Java",Tunis,Alternance,63505
575,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Photoshop, Flask, Spring Boot, GCP, Kubernetes",Lyon,CDD,31557
576,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Numpy, CI/CD, JavaScript, Figma, Python, React, HTML",Madrid,CDD,26246
577,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Flask, Java, TensorFlow",Montréal,Freelance,20941
578,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Angular, Azure, HTML, Flask",Tunis,Stage,22998
579,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"JavaScript, Kubernetes, SQL, Azure, Figma, Linux",Berlin,Freelance,53616
580,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Angular, Docker, Spring Boot, Linux, Java, NoSQL, Flask",Tunis,Alternance,59637
581,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Angular, Java, Flask, Numpy, Python",Berlin,CDI,68839
582,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Angular, JavaScript, Flask, Python, CSS",Sfax,Alternance,78677
583,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"GCP, Docker, Python",Casablanca,CDI,41782
584,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Java, NoSQL, Docker, React",Paris,CDD,51543
585,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Spring Boot, Pandas, HTML, Numpy, SQL",Sfax,Freelance,45119
586,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"NoSQL, Photoshop, TensorFlow",Madrid,Alternance,33867
587,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Angular, Photoshop, HTML, GCP, Pandas, JavaScript, Spring Boot",Berlin,Stage,38770
588,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Java, Angular, NoSQL, JavaScript, HTML, Azure",Paris,Stage,22873
589,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Pandas, TensorFlow, Figma",Tunis,Freelance,74084
590,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Flask, React, GCP, Java, Angular, SQL, NoSQL",Madrid,CDD,21252
591,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Azure, SQL, Angular, Spring Boot",Berlin,Alternance,79383
592,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"JavaScript, React, Azure, Figma, Angular, Python",Montréal,CDI,34494
593,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"CI/CD, TensorFlow, Spring Boot, JavaScript, Docker, Pandas, GCP",Montréal,Stage,24338
594,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Docker, Spring Boot, CI/CD, Figma",Paris,Stage,48487
595,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"JavaScript, Numpy, Angular",Tunis,Alternance,38685
596,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Pandas, AWS, Figma, Flask, CI/CD, Docker",Berlin,CDD,30643
597,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"NoSQL, Pandas, CI/CD, Docker, TensorFlow",Madrid,Freelance,20405
598,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"JavaScript, React, Angular, Numpy, Photoshop, Docker",Sfax,Stage,21658
599,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Photoshop, React, JavaScript, Pandas",Montréal,CDI,53251
600,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"AWS, Java, Docker, Angular",Berlin,CDI,61964
